resource_id,value
388,4034c824-a591-4a45-a8e0-100e8561f5c8
389,40eb0290-0e84-4ff2-a166-ff9e7d148e26
390,41739adc-61a9-46fd-be25-14b396f630c1
391,43406939-f492-4756-8296-d00645ffa178
392,43516094-ada9-489f-8929-a19e21c24630
393,44728e39-4c02-4a5b-bd05-c7580a1d19bd
394,44a6d394-d2db-4732-80ff-061e4e56cfe7
395,44c63a9a-f87f-4dc1-91cd-1a791ceab321
396,4598cf4f-3981-4f2f-a4d3-9eace3d322b1
397,4636aed8-be14-447c-84b5-b64c61ed335b
398,481b3fcb-1703-4ca7-b22b-b7bec4dce43e
399,491d1056-205d-4026-8e13-446608c0d33c
400,49d0907b-d949-4d14-8aeb-bc1dea9a3ad1
401,4aaf4337-3102-4b32-9d28-735912329c73
402,4ba4b2ae-190d-41fa-9f85-7301cc85e9cf
403,4fe44b8c-4f5d-4892-9eca-c90c260d8850
404,532b601e-045c-4dcb-81b2-0db7ffebb009
405,56663d54-d9ac-4d9d-b4fe-7fb7d64a6f21
406,56c4aa7c-d077-449e-8ad3-576b1cd691b7
407,5745b420-1fc6-4668-ad15-79036407fd28
408,58539ab0-8bc6-4cb1-95bb-5c28ce2749c7
409,597050bf-8984-404e-ab6d-ebd94bc084e0
410,5b6156bb-5531-42c4-a697-592ea363cac9
411,5c00f2f7-9036-42ea-8e25-b7ba1683e0d1
412,5ce3e37a-92be-4de3-8bb7-7b6037037224
413,5d119f0b-bc20-4227-92ad-dfd3ced7a5d7
414,5f04fcbf-8553-4a1d-be60-05bf9193a114
415,60410103-27da-488f-9e4f-ca7bd490dee4
416,6089a70f-9a8d-4e42-9878-2c61fbf360b0
417,60d193c1-d814-42c3-90c0-a5caf5975e1a
418,61fa34bb-ea9a-474a-b53b-c83eeb69a47e
419,625f034a-dc03-49e3-8bd3-958b924a717b
420,644473d6-849a-4ea1-8336-eeb07aaf5c2a
421,65267fc0-28bc-4c41-98b0-0a3d56c0c4ba
422,66526d6b-337d-433d-831f-9e1fe089d630
423,66bd35a8-cbe1-4910-9a53-7d9a66011bc2
424,673bfeec-eee6-4c3d-ad5f-3b5d081e6c6d
425,676a8a87-1848-4b61-b4f8-1d596773298f
426,678fece1-1788-4903-ab19-26df8de369c6
427,688e92b6-2262-4211-baa5-f8a04d72a808
428,6a1b1e61-6a51-4ba8-ae3c-84e4389d895a
429,6b55c9fd-f4bc-4612-8e67-3775da8e062c
430,6b9829a7-95aa-4d19-ad92-99b74858fa25
431,6badd78c-2b56-438c-a65d-97f2b5c0e448
432,6fa0cbdd-b9c9-4556-9a15-92772103bc1a
433,70555c7d-8c35-472a-a107-a17cc05fa8ec
434,715f707f-815f-4f75-b39d-17e06e81f4f6
435,732855e3-269e-460b-9bf1-c0f600147ace
436,7516c895-bba6-4ae7-b5e9-553136bda218
437,75848056-c238-4b77-b201-edab0a9b85ee
438,75f4d783-de58-4798-873a-d0960ca28c44
439,78a507c4-3647-440c-89dc-ff6c648986cb
440,78caeb90-643c-4cd5-8d98-0a5c5fba17ff
